r ed err
0.12542953543000893 0.012113698031174111 0.0014876877929139607
0.18922183173374835 0.008593700991453313 0.001718250804347745
0.2854582972178391 0.005611954728549155 0.0012463452385085487
0.4306397348756603 0.0021917361573003413 0.0010895949165802678
0.6496591027874654 0.0024698944728773127 0.0012659202711060957
0.9800696862226984 0.00216317082822071 0.001087099704532997
1.478524022416255 0.003639061291678744 0.0012992630200276576
2.2304876026593243 0.0019469066100889108 0.0013331956403389638
3.364892873019744 0.0013136482158380086 0.0009472280860259975
5.076246123672545 0.0035143052646750324 0.0008133238639062098
7.657977736740074 0.001793573782873586 0.0006477246916837515
11.552754060313097 0.0019277863474184574 0.0002947822562678926
17.428377434131328 0.0009327913742741104 0.0003664896640036123
26.292288263107537 0.00047713614371404215 0.0002320420538618508
